Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees,UpdatedAt
15,a48DQAdbUs,Cisneros Skinner and Montes,https://www.kerr.com/,Namibia,Sharable fault-tolerant synergy,1994,Real Estate / Mortgage,9473,2018-07-02 19:35:08.214594
16,c1qjygKJKu,Morse-Wiley,http://www.suarez-craig.com/,Guatemala,Centralized bandwidth-monitored extranet,2012,Construction,4125,1977-12-29 12:53:27.077512
17,pelBH3F5WF,Baldwin-Andersen,https://mccarty-glenn.net/,Cape Verde,Organic solution-oriented complexity,1978,Non - Profit / Volunteering,9097,2012-10-29 14:41:18.536767
18,EhUMb202PG,Weeks Group UK,http://www.lester.info/,Germany,Subject western so space start account.,1992,Aviation / Aerospace,22,2016-01-26 05:00:12.521762
19,92iixEIYfB,Browning Group,http://www.schwartz-meza.com/,Kiribati,Configurable needs-based budgetary management,1986,Glass / Ceramics / Concrete,3428,2020-08-26 08:19:58.270167
20,593gHwW25S,Finley PLC,https://www.bryant.com/,Guatemala,Implemented object-oriented functionalities,2016,Apparel / Fashion,3118,2021-05-01 13:28:10.922920
21,0jAuPgsfjn,Beard Group,http://mccarty.info/,Macao,Triple-buffered foreground capability,2017,Online Publishing,5144,2025-09-21 08:19:35.689278
22,eEdVeFOvpe,Bartlett Cross and Riddle,http://clayton-garcia.net/,Tunisia,Cross-platform coherent productivity,1990,Newspapers / Journalism,5123,2012-02-07 07:24:27.183489
23,TQQfhV9iiW,Morse-Short Nordics,http://harmon.biz/,Jersey,Continue senior admit laugh.,2014,Military Industry,7112,2022-08-03 03:04:16.131270
24,eEdVeFOvpe,Bartlett Cross and Riddle LLP,http://clayton-garcia.net/,Tunisia,Mind turn enter seven first while morning visit.,1990,Newspapers / Journalism,5123,2009-07-22 16:43:18.797167
25,6wSyEaBaGK,Branch Macias and Valencia Global,http://www.norris-raymond.info/,Guyana,Water nice garden five Democrat family white.,1971,Religious Institutions,6306,2018-04-08 23:46:15.576511
26,6wSyEaBaGK,Branch Macias and Valencia AG,http://www.norris-raymond.info/,Guyana,Class hospital baby wait.,1971,Religious Institutions,6306,1984-08-19 21:41:05.621464
27,azob2eTiVf,Sherman-Shannon,https://www.garner-tate.net/,Turks and Caicos Islands,Public-key zero-defect installation,1980,Environmental Services,6817,2005-05-02 07:29:27.599859
28,FbLqOfXjri,Branch Conner and Peterson,https://www.saunders.com/,Tanzania,Total optimal projection,2024,Non - Profit / Volunteering,5573,2020-08-17 05:56:32.484539
29,lMXeMINLwP,Vincent Ltd USA,http://www.durham-conrad.com/,Andorra,Not movement despite.,1992,International Trade / Development,2613,1976-04-27 05:11:12.191693
30,WzTWDVwtsb,Potts Hurst and Harrell,http://wall.com/,Namibia,Integrated stable open system,2009,Health / Fitness,3772,1985-06-16 12:44:09.565840
31,2KUK9Mszr1,Pineda-Hurst Americas,http://sutton.biz/,Lithuania,Approach rise support though.,2015,Public Relations / PR,4284,1975-08-04 09:42:09.485677
32,mOtwE5twPD,Stokes Bray and Shannon,http://www.cortez.com/,Nauru,Distributed encompassing approach,1974,Consumer Electronics,7308,2014-08-18 05:32:27.423385
33,ig7s8g2JP7,Valencia-Kirby,http://camacho-santiago.com/,Jordan,Reactive well-modulated infrastructure,2000,Law Practice / Law Firms,3810,1981-07-14 13:48:21.497222
34,BjPTqODEip,Mercado LLC,https://bond.com/,Grenada,Intuitive radical frame,2022,Logistics / Procurement,6447,1972-02-22 10:12:11.424032
35,sqDZitHe8h,Crawford PLC,https://hawkins-rangel.com/,Cote d'Ivoire,Visionary optimizing analyzer,2015,Environmental Services,9300,1983-11-30 12:03:47.536908
36,qc8McWDMMH,Kennedy and Sons,https://www.simpson.com/,Poland,Re-contextualized regional framework,1994,Research Industry,6131,2000-11-26 17:04:54.499557
37,jS3sowvGNz,Santos Cunningham and Larsen,http://www.davis-hobbs.biz/,Liechtenstein,Focused grid-enabled instruction set,1991,Defense / Space,4090,2003-07-13 12:11:28.019686
38,ig7s8g2JP7,Valencia-Kirby Enterprises,http://camacho-santiago.com/,Jordan,Seek people writer new practice visit finish.,2000,Law Practice / Law Firms,3810,1976-10-18 10:59:17.314449
39,a2z2fgDFGo,Hall Ltd,https://levine.com/,Seychelles,Reactive clear-thinking function,1984,Research Industry,8440,2014-04-23 01:07:00.796179
40,cXAOCY0KRc,Downs Schaefer and Macias,http://goodwin.com/,Malaysia,Phased real-time support,2024,Recreational Facilities / Services,5103,1999-04-05 07:58:56.815431
41,rnHoSUIwg3,Hendricks PLC,https://www.king.com/,Mexico,Cross-platform bifurcated productivity,2024,Pharmaceuticals,8280,1975-12-04 00:39:25.636017
42,X0x8hXzrFk,Owen and Sons,https://www.osborne-brandt.com/,Greece,Re-contextualized bottom-line help-desk,1989,Transportation,3979,2007-09-19 10:32:07.399072
43,G0gbhzTKgC,Herrera Blevins and Lawson,http://flynn.com/,Mali,Streamlined fault-tolerant throughput,2004,Shipbuilding,6224,2008-07-21 03:39:03.821459
44,ZYe0KK2Ccm,Montgomery-Abbott,https://www.bryant.org/,France,Organic directional installation,2018,Government Relations,6597,1975-02-13 18:56:08.848140
45,X0x8hXzrFk,Owen and Sons Co.,https://www.osborne-brandt.com/,Greece,Others realize give because significant commercial beautiful.,1989,Transportation,3979,2018-05-19 23:13:28.798012
46,ADdpNmAxBc,Herman-Baldwin,https://caldwell.com/,North Macedonia,Expanded bifurcated data-warehouse,1970,Library,8346,1989-06-27 10:44:43.725740
47,wTHyoqDC4N,Villarreal Delacruz and Baird,http://russo.net/,Malaysia,Programmable radical benchmark,1997,Staffing / Recruiting,3602,1998-09-11 07:15:20.355073
48,1EjexUikJT,Park-Mayo,http://www.garcia.com/,British Virgin Islands,Adaptive web-enabled methodology,1974,Primary / Secondary Education,7963,2011-03-27 14:11:20.367545
49,8FeW8hm5DK,Alvarado Inc,http://www.li.com/,Uzbekistan,Innovative non-volatile superstructure,1987,Veterinary,9814,1975-12-15 08:23:20.964278
50,IcOoouKGEX,Steele Hull and Atkinson,http://miller-snow.com/,Myanmar,Programmable eco-centric adapter,1999,Law Practice / Law Firms,9790,1982-11-12 20:10:36.966085
51,S4DUNy0r9b,Webster Decker and Leonard,http://www.rosario.biz/,Dominica,Cross-platform cohesive policy,2003,Gambling / Casinos,7098,1988-02-06 17:47:56.195953
52,WPzuhIdldq,Shah-Sampson,http://www.gates.com/,Marshall Islands,Networked intermediate customer loyalty,2020,Printing,8826,1973-10-31 01:05:41.255627
53,QRuojl39Dm,Robinson Flynn and Potter AB,http://www.prince.net/,Sweden,Listen wonder stage student film.,2005,Law Practice / Law Firms,5995,1986-11-02 00:49:28.669603
54,HabXOILxxV,Gibson Inc,http://petty.com/,China,Centralized coherent moratorium,2014,Packaging / Containers,9168,2006-10-08 04:04:21.136347
55,1FpjVSbKTs,Wiggins Mathis and Leon,https://edwards.com/,Ukraine,Visionary solution-oriented functionalities,1999,Philanthropy,5164,2004-06-24 17:47:20.408526
56,3Nag9fIMQ1,Hayden Harmon and Hester,http://harrison.biz/,Hong Kong,Inverse homogeneous middleware,1978,Nanotechnology,1927,2005-05-19 18:48:16.984015
57,2PYUxdqdlN,Mann PLC,http://robertson.com/,Cameroon,Horizontal 24hour leverage,2010,Paper / Forest Products,2806,2012-05-23 14:23:48.542794
58,U2Vrf8pMS5,Palmer-Davila,https://frank-meyers.biz/,Cayman Islands,Re-engineered multi-state array,1989,Civil Engineering,4277,2012-04-28 09:51:41.523055
59,zbgc1OwO7h,Gilbert-Lee,https://www.choi.com/,South Georgia and the South Sandwich Islands,Devolved attitude-oriented throughput,1990,Building Materials,4801,1970-09-06 13:19:08.687787
60,E8ItWpuODv,Berry Group,http://boyle.net/,Angola,Streamlined dedicated budgetary management,1994,Museums / Institutions,7299,1982-12-17 09:35:50.879636
61,odtfZ1nvzf,Bright-Joyce,http://patel.com/,Venezuela,Team-oriented discrete methodology,2011,Machinery,6008,1971-07-12 04:24:53.337831
62,E8ItWpuODv,Berry Group Europe,http://boyle.net/,Angola,Education as dark cover front stand.,1994,Museums / Institutions,7299,1975-11-09 22:04:27.531105
63,Pifo1WBsB1,Oneal Group,http://ferguson-booker.com/,Costa Rica,Persevering empowering analyzer,1999,Airlines / Aviation,4250,2001-08-06 08:42:26.646075
64,Qo1NmZWXtf,Acosta Group,https://dickerson.biz/,Tokelau,Synergized logistical orchestration,2019,Chemicals,8199,1984-10-21 13:02:50.113192
65,cXAOCY0KRc,Downs Schaefer and Macias Corp,http://goodwin.com/,Malaysia,General response seat through board tell.,2024,Recreational Facilities / Services,5103,1996-03-19 11:36:26.879123
66,2VVZfHRuOm,Roberts PLC,http://www.kramer.com/,Uzbekistan,Triple-buffered holistic standardization,2000,Restaurants,4314,1989-04-10 08:39:45.493345
67,n7QieGJoL1,Fry Inc,https://ewing.com/,Congo,Decentralized interactive superstructure,1990,Commercial Real Estate,3999,1974-04-09 14:25:09.530951
68,TsBTQ3vGUk,Hanson LLC,http://perry-mcgee.info/,Gibraltar,Switchable global implementation,2015,Pharmaceuticals,2567,2009-01-26 06:46:20.220073
69,LKZQaLJ6EC,Blankenship Ltd,https://www.weiss.biz/,Cape Verde,Synergized executive methodology,1985,Aviation / Aerospace,1569,1975-06-05 19:44:53.881850
70,2VVZfHRuOm,Roberts PLC Works,http://www.kramer.com/,Uzbekistan,Sing focus interview.,2000,Restaurants,4314,2021-04-26 10:50:13.557682
71,BvO365301Y,Lee Inc,http://www.lambert-scott.info/,Italy,User-friendly non-volatile pricing structure,1983,Telecommunications,3101,2017-03-21 14:07:21.349134
72,pelBH3F5WF,Baldwin-Andersen Global,https://mccarty-glenn.net/,Cape Verde,Drive already radio others ok item option.,1978,Non - Profit / Volunteering,9097,1999-04-30 00:54:28.196571
73,TQQfhV9iiW,Morse-Short GmbH,http://harmon.biz/,Jersey,Performance standard them gun production.,2014,Military Industry,7112,2019-05-09 21:00:01.785300
74,2sDGIbVWyP,Hickman-Baker,http://cowan.com/,Angola,Managed bi-directional leverage,2022,International Affairs,7556,2012-09-05 12:46:55.335551
75,WzTWDVwtsb,Potts Hurst and Harrell PLC,http://wall.com/,Namibia,Industry everyone mother meeting sometimes mind now product.,2009,Health / Fitness,3772,1984-12-13 00:20:43.968285
76,cXAOCY0KRc,Downs Schaefer and Macias Services,http://goodwin.com/,Malaysia,Establish alone health ground situation film age white.,2024,Recreational Facilities / Services,5103,1976-02-07 13:42:25.227100
77,2oHyhxvRYS,Hansen-Pace,http://crane.org/,Solomon Islands,Compatible zero administration matrix,2020,Glass / Ceramics / Concrete,6265,1987-07-30 19:16:09.636810
78,I2rI1jDBfp,Bishop-Church,http://greer.com/,Indonesia,Face-to-face impactful definition,1986,Renewables / Environment,221,2001-09-13 08:41:16.098021
79,Efo2iE2oPi,Hinton-Manning,https://www.schroeder-trevino.com/,Guatemala,Function-based optimal data-warehouse,2002,Media Production,6422,1970-08-18 04:27:16.606622
80,O2FyYobSw6,Dean LLC,http://alvarado-le.com/,Indonesia,Synergized heuristic focus group,1999,Restaurants,3887,2017-10-03 10:19:22.019654
81,rnHoSUIwg3,Hendricks PLC Ventures,https://www.king.com/,Mexico,President choice apply later cultural free three.,2024,Pharmaceuticals,8280,1973-09-27 01:36:48.831472
82,q55X3GQ1I9,Hatfield PLC,https://stark.com/,Ireland,Automated mission-critical paradigm,1997,Management Consulting,2022,1999-02-11 12:29:57.383334
83,hZDijGZ1qh,Ware-Henderson,http://cooke.info/,Palestinian Territory,Diverse dedicated focus group,1971,Professional Training,6026,1974-07-18 14:15:03.742294
84,SMr530rB6H,Estes Group,https://ball.com/,Albania,Cloned dynamic solution,2001,Renewables / Environment,1441,1989-07-09 16:42:42.465047
85,ZYe0KK2Ccm,Montgomery-Abbott Africa,https://www.bryant.org/,France,Travel sing specific thing tough.,2018,Government Relations,6597,1995-08-29 01:50:23.059337
86,GweKTIvDvv,Forbes Mercer and Hardy,https://peters.net/,San Marino,Adaptive coherent attitude,1985,Aviation / Aerospace,505,1988-11-17 01:22:09.497191
87,h8DQs2haOG,Meadows-Reid,http://evans.net/,Indonesia,Open-source mission-critical implementation,2012,Non - Profit / Volunteering,987,1996-08-22 01:51:44.224430
88,JKauGOMBuC,Ryan-Bowman,https://www.chaney.com/,Georgia,Balanced multi-state portal,1990,Health / Fitness,546,1976-10-24 07:46:36.715470
89,eaTy1yYUoh,Cline-Diaz,https://horn.com/,Haiti,Expanded 3rdgeneration orchestration,2021,Alternative Medicine,8228,1972-11-19 19:01:33.368169
90,Efo2iE2oPi,Hinton-Manning Logistics,https://www.schroeder-trevino.com/,Guatemala,Could continue many east account keep investment kitchen.,2002,Media Production,6422,2005-05-14 01:47:34.646601
91,wTHyoqDC4N,Villarreal Delacruz and Baird Americas,http://russo.net/,Malaysia,Down type spring.,1997,Staffing / Recruiting,3602,1972-05-17 02:53:58.075773
92,M37mCQCapI,Hendricks Group,http://mccall-lucero.com/,New Caledonia,Robust scalable methodology,1999,Pharmaceuticals,844,2009-09-14 03:16:51.949656
93,Yg8gkxBbkX,Valenzuela-Gates,https://www.humphrey.com/,Nigeria,Compatible 24/7 toolset,1982,Human Resources / HR,7995,1982-10-11 14:55:02.633810
94,rf87Bgb9PY,Simon PLC,https://erickson-park.com/,Aruba,Horizontal well-modulated methodology,1976,Media Production,5714,2002-05-22 10:53:06.232595
95,7zUJXgqlwd,Espinoza-Wiggins,http://mckinney.com/,Turkey,Face-to-face even-keeled task-force,1993,Logistics / Procurement,4460,2004-05-20 15:36:18.588206
96,BvO365301Y,Lee Inc Germany,http://www.lambert-scott.info/,Italy,Per character third total teacher check role.,1983,Telecommunications,3101,1997-03-12 16:35:03.226909
97,wTHyoqDC4N,Villarreal Delacruz and Baird Solutions,http://russo.net/,Malaysia,Economy eight ground win off far.,1997,Staffing / Recruiting,3602,1970-06-11 19:52:40.407938
98,GN7MeFT2XH,Shepherd and Sons,https://fischer-hopkins.com/,Argentina,Visionary systemic collaboration,2015,Photography,8849,2023-08-14 15:20:16.800048
99,BvO365301Y,Lee Inc Security,http://www.lambert-scott.info/,Italy,Other really spend raise as little fill.,1983,Telecommunications,3101,1999-06-28 02:28:27.916363
100,WzTWDVwtsb,Potts Hurst and Harrell USA,http://wall.com/,Namibia,Support according control will final.,2009,Health / Fitness,3772,2020-08-21 19:31:48.510865
